#com.redshiftdev.Sync-Solver-Health-Export (2.3.31),,
asleep-start-date-time,asleep-end-date-time,minutes-asleep
2017-03-09T04:02:00-05:00,2017-03-09T06:58:00-05:00,176
2017-03-10T00:31:00-05:00,2017-03-10T07:14:00-05:00,403
2017-03-10T11:24:00-05:00,2017-03-10T12:13:00-05:00,49
2017-03-10T23:47:00-05:00,2017-03-11T06:43:00-05:00,416
2017-03-11T07:23:00-05:00,2017-03-11T09:44:00-05:00,141
2017-03-11T23:30:00-05:00,2017-03-11T23:45:00-05:00,15
2017-03-12T00:00:00-05:00,2017-03-12T03:02:00-04:00,122
2017-03-12T04:43:00-04:00,2017-03-12T09:00:00-04:00,257
2017-03-12T23:44:00-04:00,2017-03-13T07:45:00-04:00,481
2017-03-14T00:07:00-04:00,2017-03-14T07:01:00-04:00,414
2017-03-14T09:28:00-04:00,2017-03-14T09:29:00-04:00,1
2017-03-14T14:53:00-04:00,2017-03-14T15:41:00-04:00,48
2017-03-15T01:11:00-04:00,2017-03-15T07:44:00-04:00,393
2017-03-15T08:58:00-04:00,2017-03-15T09:30:00-04:00,32
2017-03-15T14:17:00-04:00,2017-03-15T14:48:00-04:00,31
2017-03-16T00:45:00-04:00,2017-03-16T01:13:00-04:00,28
2017-03-16T01:15:00-04:00,2017-03-16T01:33:00-04:00,18
2017-03-16T02:00:00-04:00,2017-03-16T02:15:00-04:00,15
2017-03-16T02:46:00-04:00,2017-03-16T06:43:00-04:00,237
2017-03-16T07:11:00-04:00,2017-03-16T07:59:00-04:00,48
2017-03-17T02:35:00-04:00,2017-03-17T03:15:00-04:00,40
2017-03-17T04:14:00-04:00,2017-03-17T04:30:00-04:00,16
2017-03-17T06:31:00-04:00,2017-03-17T06:42:00-04:00,11
2017-03-17T07:00:00-04:00,2017-03-17T07:48:00-04:00,48
2017-03-18T00:50:00-04:00,2017-03-18T07:27:00-04:00,397
2017-03-18T08:14:00-04:00,2017-03-18T08:44:00-04:00,30
2017-03-18T09:10:00-04:00,2017-03-18T09:45:00-04:00,35
2017-03-18T10:01:00-04:00,2017-03-18T10:42:00-04:00,41
2017-03-18T10:59:00-04:00,2017-03-18T11:14:00-04:00,15
2017-03-19T00:19:00-04:00,2017-03-19T01:20:00-04:00,61
2017-03-19T01:30:00-04:00,2017-03-19T07:43:00-04:00,373
2017-03-19T23:32:00-04:00,2017-03-20T01:15:00-04:00,103
2017-03-20T01:30:00-04:00,2017-03-20T07:49:00-04:00,379
2017-03-20T08:15:00-04:00,2017-03-20T08:16:00-04:00,1
