#com.redshiftdev.Sync-Solver-Health-Export (2.3.31),,
in-bed-start-date-time,in-bed-end-date-time,minutes-in-bed
2017-05-08T22:30:00-04:00,2017-05-08T22:59:00-04:00,29
2017-05-09T00:45:00-04:00,2017-05-09T04:29:00-04:00,224
2017-05-10T00:32:00-04:00,2017-05-10T05:38:00-04:00,306
2017-05-10T22:15:00-04:00,2017-05-11T08:16:00-04:00,601
2017-05-12T00:08:00-04:00,2017-05-12T07:14:00-04:00,426
2017-05-12T16:15:00-04:00,2017-05-12T16:56:00-04:00,41
2017-05-13T00:00:00-04:00,2017-05-13T06:33:00-04:00,393
2017-05-14T00:30:00-04:00,2017-05-14T08:13:00-04:00,463
2017-05-14T12:24:00-04:00,2017-05-14T13:05:00-04:00,41
2017-05-14T15:03:00-04:00,2017-05-14T16:20:00-04:00,77
2017-05-14T22:02:00-04:00,2017-05-15T07:33:00-04:00,571
2017-05-15T10:07:00-04:00,2017-05-15T10:26:00-04:00,19
2017-05-16T00:02:00-04:00,2017-05-16T07:29:00-04:00,447
2017-05-17T22:17:00-04:00,2017-05-17T22:38:00-04:00,21
2017-05-18T00:15:00-04:00,2017-05-18T01:15:00-04:00,60
2017-05-18T02:47:00-04:00,2017-05-18T05:56:00-04:00,189
2017-05-18T15:30:00-04:00,2017-05-18T16:01:00-04:00,31
2017-05-18T22:47:00-04:00,2017-05-19T00:01:00-04:00,74
2017-05-19T02:01:00-04:00,2017-05-19T06:13:00-04:00,252
2017-05-20T01:30:00-04:00,2017-05-20T07:03:00-04:00,333
2017-05-20T23:15:00-04:00,2017-05-21T08:24:00-04:00,549
2017-05-21T11:49:00-04:00,2017-05-21T12:27:00-04:00,38
2017-05-21T23:45:00-04:00,2017-05-22T04:00:00-04:00,255
2017-05-22T12:28:00-04:00,2017-05-22T13:26:00-04:00,58
2017-05-22T23:00:00-04:00,2017-05-23T00:45:00-04:00,105
2017-05-23T04:47:00-04:00,2017-05-23T07:49:00-04:00,182
2017-05-24T01:10:00-04:00,2017-05-24T07:01:00-04:00,351
2017-05-24T11:30:00-04:00,2017-05-24T13:01:00-04:00,91
2017-05-24T23:31:00-04:00,2017-05-25T06:13:00-04:00,402
2017-05-25T23:47:00-04:00,2017-05-26T07:29:00-04:00,462
2017-05-27T00:45:00-04:00,2017-05-27T09:04:00-04:00,499
2017-05-28T00:16:00-04:00,2017-05-28T07:36:00-04:00,440
2017-05-28T11:30:00-04:00,2017-05-28T11:42:00-04:00,12
2017-05-29T00:17:00-04:00,2017-05-29T08:47:00-04:00,510
2017-05-29T22:49:00-04:00,2017-05-30T05:28:00-04:00,399
2017-05-30T22:30:00-04:00,2017-05-31T01:15:00-04:00,165
2017-05-31T04:00:00-04:00,2017-05-31T05:30:00-04:00,90
2017-05-31T23:38:00-04:00,2017-06-01T07:33:00-04:00,475
2017-06-02T01:00:00-04:00,2017-06-02T07:13:00-04:00,373
2017-06-02T22:37:00-04:00,2017-06-03T06:38:00-04:00,481
2017-06-04T02:14:00-04:00,2017-06-04T02:35:00-04:00,21
2017-06-04T04:15:00-04:00,2017-06-04T07:42:00-04:00,207
2017-06-04T23:49:00-04:00,2017-06-05T05:25:00-04:00,336
2017-06-05T20:32:00-04:00,2017-06-05T20:57:00-04:00,25
2017-06-05T22:33:00-04:00,2017-06-06T06:49:00-04:00,496
2017-06-06T23:57:00-04:00,2017-06-07T02:11:00-04:00,134
2017-06-07T04:12:00-04:00,2017-06-07T04:30:00-04:00,18
2017-06-08T00:10:00-04:00,2017-06-08T07:00:00-04:00,410
2017-06-09T00:00:00-04:00,2017-06-09T07:00:00-04:00,420
2017-06-10T02:02:00-04:00,2017-06-10T03:58:00-04:00,116
2017-06-10T05:41:00-04:00,2017-06-10T06:03:00-04:00,22
2017-06-11T00:15:00-04:00,2017-06-11T08:29:00-04:00,494
2017-06-11T16:29:00-04:00,2017-06-11T17:59:00-04:00,90
2017-06-12T01:19:00-04:00,2017-06-12T07:48:00-04:00,389
2017-06-13T01:04:00-04:00,2017-06-13T07:26:00-04:00,382
2017-06-13T22:34:00-04:00,2017-06-14T06:30:00-04:00,476
2017-06-14T22:32:00-04:00,2017-06-15T00:58:00-04:00,146
2017-06-15T03:45:00-04:00,2017-06-15T05:50:00-04:00,125
2017-06-15T22:33:00-04:00,2017-06-16T05:41:00-04:00,428
2017-06-17T00:18:00-04:00,2017-06-17T09:44:00-04:00,566
2017-06-18T01:00:00-04:00,2017-06-18T09:18:00-04:00,498
2017-06-18T13:00:00-04:00,2017-06-18T13:32:00-04:00,32
2017-06-18T23:30:00-04:00,2017-06-19T06:31:00-04:00,421
2017-06-20T00:46:00-04:00,2017-06-20T07:12:00-04:00,386
2017-06-20T14:15:00-04:00,2017-06-20T15:18:00-04:00,63
2017-06-26T23:31:00-04:00,2017-06-27T05:54:00-04:00,383
2017-06-27T23:15:00-04:00,2017-06-28T07:48:00-04:00,513
2017-06-28T22:30:00-04:00,2017-06-29T05:22:00-04:00,412
2017-06-29T07:27:00-04:00,2017-06-29T07:50:00-04:00,23
2017-06-30T00:51:00-04:00,2017-06-30T06:42:00-04:00,351
2017-07-01T20:45:00-04:00,2017-07-02T03:45:00-04:00,420
2017-07-02T21:28:00-04:00,2017-07-03T05:09:00-04:00,461
2017-07-03T20:30:00-04:00,2017-07-04T04:19:00-04:00,469
2017-07-04T07:03:00-04:00,2017-07-04T07:32:00-04:00,29
2017-07-04T19:00:00-04:00,2017-07-05T04:49:00-04:00,589
2017-07-05T20:00:00-04:00,2017-07-05T20:29:00-04:00,29
2017-07-06T00:23:00-04:00,2017-07-06T02:36:00-04:00,133
2017-07-06T07:44:00-04:00,2017-07-06T07:45:00-04:00,1
2017-07-07T12:44:00-04:00,2017-07-07T14:39:00-04:00,115
2017-07-07T22:30:00-04:00,2017-07-08T05:59:00-04:00,449
2017-07-08T21:03:00-04:00,2017-07-09T01:00:00-04:00,237
2017-07-09T22:30:00-04:00,2017-07-10T05:56:00-04:00,446
2017-07-10T22:30:00-04:00,2017-07-11T05:15:00-04:00,405
2017-07-11T06:58:00-04:00,2017-07-11T08:03:00-04:00,65
2017-07-11T23:17:00-04:00,2017-07-12T04:58:00-04:00,341
2017-07-13T00:15:00-04:00,2017-07-13T07:48:00-04:00,453
2017-07-13T17:51:00-04:00,2017-07-13T18:14:00-04:00,23
2017-07-13T23:15:00-04:00,2017-07-14T07:43:00-04:00,508
2017-07-15T00:27:00-04:00,2017-07-15T07:16:00-04:00,409
2017-07-15T10:44:00-04:00,2017-07-15T11:58:00-04:00,74
2017-07-16T00:01:00-04:00,2017-07-16T08:20:00-04:00,499
2017-07-16T23:46:00-04:00,2017-07-17T05:29:00-04:00,343
2017-07-17T08:00:00-04:00,2017-07-17T08:22:00-04:00,22
2017-07-17T23:17:00-04:00,2017-07-18T07:04:00-04:00,467
2017-07-19T23:43:00-04:00,2017-07-20T06:30:00-04:00,407
2017-07-21T00:00:00-04:00,2017-07-21T03:45:00-04:00,225
2017-07-21T06:55:00-04:00,2017-07-21T08:47:00-04:00,112
2017-07-21T23:31:00-04:00,2017-07-22T08:15:00-04:00,524
2017-07-23T02:15:00-04:00,2017-07-23T07:54:00-04:00,339
2017-07-23T10:25:00-04:00,2017-07-23T10:55:00-04:00,30
2017-07-24T00:00:00-04:00,2017-07-24T07:30:00-04:00,450
2017-07-25T00:15:00-04:00,2017-07-25T08:03:00-04:00,468
2017-07-25T22:23:00-04:00,2017-07-25T23:32:00-04:00,69
2017-07-26T01:30:00-04:00,2017-07-26T07:58:00-04:00,388
2017-07-26T16:45:00-04:00,2017-07-26T17:14:00-04:00,29
2017-07-26T23:59:00-04:00,2017-07-27T00:35:00-04:00,36
2017-07-27T03:11:00-04:00,2017-07-27T07:04:00-04:00,233
2017-07-27T23:01:00-04:00,2017-07-28T03:00:00-04:00,239
2017-07-28T23:36:00-04:00,2017-07-29T08:57:00-04:00,561
2017-07-29T15:00:00-04:00,2017-07-29T15:58:00-04:00,58
2017-07-30T00:30:00-04:00,2017-07-30T06:12:00-04:00,342
2017-07-30T17:29:00-04:00,2017-07-30T18:14:00-04:00,45
2017-07-31T00:13:00-04:00,2017-07-31T07:11:00-04:00,418
2017-07-31T22:32:00-04:00,2017-08-01T08:05:00-04:00,573
2017-08-01T22:03:00-04:00,2017-08-02T06:00:00-04:00,477
2017-08-03T00:50:00-04:00,2017-08-03T08:16:00-04:00,446
2017-08-03T23:30:00-04:00,2017-08-04T08:00:00-04:00,510
2017-08-05T02:15:00-04:00,2017-08-05T07:55:00-04:00,340
2017-08-07T23:31:00-04:00,2017-08-08T06:39:00-04:00,428
2017-08-09T00:15:00-04:00,2017-08-09T07:08:00-04:00,413
2017-08-09T09:16:00-04:00,2017-08-09T09:45:00-04:00,29
2017-08-09T23:30:00-04:00,2017-08-10T07:59:00-04:00,509
2017-08-10T23:15:00-04:00,2017-08-11T07:21:00-04:00,486
2017-08-11T22:30:00-04:00,2017-08-12T04:18:00-04:00,348
2017-08-12T06:15:00-04:00,2017-08-12T07:37:00-04:00,82
2017-08-12T17:29:00-04:00,2017-08-12T17:42:00-04:00,13
2017-08-12T23:06:00-04:00,2017-08-13T07:00:00-04:00,474
2017-08-13T23:53:00-04:00,2017-08-14T05:10:00-04:00,317
2017-08-15T01:30:00-04:00,2017-08-15T07:14:00-04:00,344
2017-08-15T22:45:00-04:00,2017-08-16T05:59:00-04:00,434
2017-08-16T23:00:00-04:00,2017-08-17T06:09:00-04:00,429
2017-08-17T23:50:00-04:00,2017-08-18T06:33:00-04:00,403
2017-08-18T23:02:00-04:00,2017-08-19T08:22:00-04:00,560
2017-08-20T02:31:00-04:00,2017-08-20T10:23:00-04:00,472
2017-08-20T23:00:00-04:00,2017-08-21T06:58:00-04:00,478
2017-08-22T00:17:00-04:00,2017-08-22T07:17:00-04:00,420
2017-08-22T10:45:00-04:00,2017-08-22T11:46:00-04:00,61
2017-08-22T23:39:00-04:00,2017-08-23T05:42:00-04:00,363
2017-08-23T10:36:00-04:00,2017-08-23T12:44:00-04:00,128
2017-08-23T23:00:00-04:00,2017-08-24T05:51:00-04:00,411
2017-08-24T23:15:00-04:00,2017-08-25T06:47:00-04:00,452
2017-08-27T01:15:00-04:00,2017-08-27T07:48:00-04:00,393
2017-08-27T22:49:00-04:00,2017-08-28T06:27:00-04:00,458
2017-08-28T09:29:00-04:00,2017-08-28T10:50:00-04:00,81
2017-08-28T22:55:00-04:00,2017-08-29T07:39:00-04:00,524
2017-08-29T22:54:00-04:00,2017-08-30T00:03:00-04:00,69
2017-08-30T02:02:00-04:00,2017-08-30T04:53:00-04:00,171
2017-08-30T11:37:00-04:00,2017-08-30T12:18:00-04:00,41
2017-08-31T00:45:00-04:00,2017-08-31T06:45:00-04:00,360
2017-08-31T22:46:00-04:00,2017-09-01T05:10:00-04:00,384
2017-09-01T16:04:00-04:00,2017-09-01T17:10:00-04:00,66
2017-09-01T23:24:00-04:00,2017-09-02T08:54:00-04:00,570
2017-09-02T23:21:00-04:00,2017-09-03T08:23:00-04:00,542
2017-09-04T01:15:00-04:00,2017-09-04T08:44:00-04:00,449
2017-09-04T23:40:00-04:00,2017-09-05T07:43:00-04:00,483
2017-09-06T01:11:00-04:00,2017-09-06T08:02:00-04:00,411
2017-09-06T10:17:00-04:00,2017-09-06T11:05:00-04:00,48
2017-09-06T23:05:00-04:00,2017-09-07T04:48:00-04:00,343
2017-09-07T15:58:00-04:00,2017-09-07T16:22:00-04:00,24
2017-09-07T23:01:00-04:00,2017-09-08T05:56:00-04:00,415
2017-09-08T22:45:00-04:00,2017-09-09T07:32:00-04:00,527
2017-09-10T01:00:00-04:00,2017-09-10T09:45:00-04:00,525
2017-09-11T01:02:00-04:00,2017-09-11T07:30:00-04:00,388
2017-09-11T21:49:00-04:00,2017-09-12T07:26:00-04:00,577
2017-09-12T22:30:00-04:00,2017-09-13T06:00:00-04:00,450
2017-09-13T13:43:00-04:00,2017-09-13T14:14:00-04:00,31
2017-09-13T22:16:00-04:00,2017-09-14T07:14:00-04:00,538
2017-09-14T21:58:00-04:00,2017-09-14T22:14:00-04:00,16
2017-09-15T00:04:00-04:00,2017-09-15T02:47:00-04:00,163
2017-09-15T05:45:00-04:00,2017-09-15T06:16:00-04:00,31
2017-09-15T23:15:00-04:00,2017-09-16T07:56:00-04:00,521
2017-09-17T00:33:00-04:00,2017-09-17T06:21:00-04:00,348
2017-09-18T00:30:00-04:00,2017-09-18T07:15:00-04:00,405
2017-09-18T23:38:00-04:00,2017-09-19T07:45:00-04:00,487
2017-09-20T00:30:00-04:00,2017-09-20T07:15:00-04:00,405
2017-09-20T13:41:00-04:00,2017-09-20T14:47:00-04:00,66
2017-09-20T22:29:00-04:00,2017-09-21T07:06:00-04:00,517
2017-09-22T00:16:00-04:00,2017-09-22T04:17:00-04:00,241
2017-09-22T05:55:00-04:00,2017-09-22T06:40:00-04:00,45
2017-09-26T23:17:00-04:00,2017-09-27T06:59:00-04:00,462
2017-09-30T23:30:00-04:00,2017-10-01T02:16:00-04:00,166
2017-10-01T05:17:00-04:00,2017-10-01T07:27:00-04:00,130
2017-10-01T09:45:00-04:00,2017-10-01T11:14:00-04:00,89
2017-10-04T00:18:00-04:00,2017-10-04T07:16:00-04:00,418
2017-10-05T00:29:00-04:00,2017-10-05T04:28:00-04:00,239
2017-10-05T06:00:00-04:00,2017-10-05T07:45:00-04:00,105
2017-10-06T00:18:00-04:00,2017-10-06T07:14:00-04:00,416
2017-10-06T09:00:00-04:00,2017-10-06T09:19:00-04:00,19
2017-10-07T23:45:00-04:00,2017-10-08T08:14:00-04:00,509
2017-10-09T05:22:00-04:00,2017-10-09T10:13:00-04:00,291
2017-10-09T17:06:00-04:00,2017-10-10T03:42:00-04:00,636
2017-10-10T19:50:00-04:00,2017-10-11T03:51:00-04:00,481
2017-10-11T19:06:00-04:00,2017-10-12T02:24:00-04:00,438
2017-10-12T09:48:00-04:00,2017-10-12T12:30:00-04:00,162
